Market,Parameter,2003-04 - Q/V,2003-04 - %,2004-05 - Q/V,2004-05 - %,2005-06 - Q/V,2005-06 - %,2006-07 - Q/V,2006-07 - %,2007-08 - Q/V,2007-08 - %,2008-09 - Q/V,2008-09 - %,2009-10 - Q/V,2009-10 - %,2010-11 - Q/V,2010-11 - %,2011-12 - Q/V,2011-12 - %,2012-13 - Q/V,2012-13 - %,2013-14 - Q/V,2013-14 - %
Japan,Q - Quantity in Metric Tonnes,50020.00,12.14,57832.00,12.54,59785.00,11.67,67437.00,11.01,67373.00,12.44,57271.00,9.50,62690.00,9.24,70714.00,8.70,85800.00,9.95,76648.00,8.26,71484.00,7.27
Japan,V - Value in Rs. Crores,1163.69,19.10,1202.50,18.09,1156.00,15.96,1353.38,16.18,1227.59,16.11,1234.01,14.34,1289.58,12.83,1683.39,13.05,2140.67,12.90,1999.59,10.60,2463.83,8.15
U. S. A,Q - Quantity in Metric Tonnes,53153.00,12.90,50045.00,10.85,55817.00,10.90,43761.00,7.14,36613.00,6.76,36877.00,6.12,33444.00,4.93,50095.00,6.16,68354.00,7.93,92447.00,9.96,110880.00,11.27
U. S. A,V - Value in Rs. Crores,1682.06,27.61,1556.10,23.41,1639.20,22.62,1347.80,16.12,1016.94,13.34,1021.55,11.87,1012.52,10.08,1990.26,15.43,2977.53,17.94,4026.48,21.35,7744.67,25.63
European Union,Q - Quantity in Metric Tonnes,96284.00,23.37,117742.00,25.52,136842.00,26.72,149773.00,24.45,149381.00,27.58,151590.00,25.15,164800.00,24.29,170963.00,21.03,154221.00,17.89,158357.00,17.06,174686.00,17.76
European Union,V - Value in Rs. Crores,1470.99,24.15,1819.30,27.37,2134.20,29.46,2760.32,33.00,2664.24,34.96,2799.96,32.53,3013.33,29.99,3459.40,26.81,3810.44,22.96,4176.42,22.15,6129.69,20.29
South East Asia Including China,Q - Quantity in Metric Tonnes,174408.00,42.33,188668.00,40.90,197216.00,38.51,271163.00,44.26,203610.00,37.59,236265.00,39.19,293643.00,43.28,393111.00,48.35,428477.00,49.71,428720.00,46.19,455844.00,46.34
South East Asia Including China,V - Value in Rs. Crores,1222.23,20.06,1322.00,19.89,1435.30,19.81,1773.66,21.21,1583.56,20.78,2169.48,25.20,3270.44,32.55,4092.29,31.72,5452.50,32.85,5802.14,30.77,9813.31,32.48
Middle East,Q - Quantity in Metric Tonnes,14711.00,3.57,16624.00,3.60,22270.00,4.35,23585.00,3.85,25752.00,4.75,27177.00,4.51,34907.00,5.15,43950.00,5.41,38155.00,4.43,41419.00,4.46,58040.00,5.90
Middle East,V - Value in Rs. Crores,201.52,3.31,244.40,3.68,307.70,4.25,371.06,4.44,393.96,5.17,475.72,5.53,553.59,5.51,669.90,5.19,894.38,5.39,1113.34,5.90,1599.37,5.29
Others,Q - Quantity in Metric Tonnes,23441.00,5.69,30418.00,6.59,40234.00,7.86,56924.00,9.29,58972.00,10.89,93654.00,15.54,88953.00,13.11,84257.00,10.36,87014.00,10.09,130623.00,14.07,112822.00,11.47
Others,V - Value in Rs. Crores,351.46,5.77,502.40,7.56,572.90,7.91,757.30,9.05,734.62,9.64,907.21,10.54,909.07,9.05,1006.23,7.80,1321.72,7.96,1738.29,9.22,2462.40,8.15
Total,Q - Quantity in Metric Tonnes,412017.00,100.00,461329.00,100.00,512164.00,100.00,612643.00,100.00,541701.00,100.00,602834.00,100.00,678436.00,100.00,813090.00,100.00,862021.00,100.00,928214.00,100.00,983756.00,100.00
Total,V - Value in Rs. Crores,6091.95,100.00,6646.70,100.00,7245.30,100.00,8363.52,100.00,7620.91,100.00,8607.93,100.00,10048.53,100.00,12901.47,100.00,16597.24,100.00,18856.26,100.00,30213.27,100.00
